"id","Start","Brand","Offer","Bonus Date","Reg Rate","Coins per $1 - Now | Later | Total","Discount Type","Rate Bump?","End","Limits","Notes"
"41","08/17/2024 09:00 AM","Finish Line","15X","09/02/2024","8X","160 | 140 | 300","Coins","","08/18/2024 11:59 PM","No Limit",""
"42","08/17/2024 09:00 AM","Wayfair","10X","09/02/2024","4X","80 | 120 | 200","Coins","","08/18/2024 11:59 PM","No Limit",""
"43","08/17/2024 02:00 PM","Sam's Club","7.5X","09/02/2024","2X","40 | 110 | 150","Coins","","08/17/2024 11:59 PM","No Limit",""
"45","08/11/2024 01:30 PM","Sam's Club","10X","08/31/2024","2X","40 | 160 | 200","Coins","","08/11/2024 11:59 PM","No Limit",""
"46","08/14/2024 09:00 AM","Uber","20X","08/31/2024","3X","60 | 340 | 400","Coins","yes","08/16/2024 11:59 PM","No Limit",""
"47","08/18/2024 09:00 AM","Petco","20X","09/02/2024","8X","160 | 240 | 400","Coins","","08/18/2024 11:59 PM","No Limit",""
"48","08/18/2024 09:00 AM","Sephora","15X","09/02/2024","5X","100 | 200 | 300","Coins","","08/18/2024 11:59 PM","No Limit",""
"49","08/18/2024 09:00 AM","Champs","18X","09/02/2024","6X","120 | 240 | 360","Coins","","08/18/2024 11:59 PM","No Limit",""
"50","08/18/2024 09:00 AM","Google Play","10X","09/02/2024","3X","60 | 140 | 200","Coins","","08/18/2024 11:59 PM","No Limit",""
"51","08/18/2024 10:00 AM","Amazon","7.5x","09/02/2024","4X","80 | 70 | 150","Coins","","08/18/2024 11:59 PM","No Limit",""
"52","08/18/2024 10:00 AM","Nike","15X","09/02/2024","7X","140 | 160 | 300","Coins","","08/18/2024 11:59 PM","No Limit",""
"60","08/19/2024 11:00 AM","H&M","15X","09/09/2024","5X","100 | 200 | 300","Coins","","08/20/2024 11:59 PM","No Limit",""
"61","08/19/2024 11:00 AM","AirBnB","10X","09/09/2024","4X","80 | 120 | 200","Coins","","08/20/2024 11:59 PM","No Limit",""
"62","08/19/2024 11:00 AM","Delta","12X","09/09/2024","4X","80 | 160 | 240","Coins","","08/20/2024 11:59 PM","No Limit",""
"63","08/19/2024 11:00 AM","Roblox","20X","09/09/2024","5X","100 | 300 | 400","Coins","","08/20/2024 11:59 PM","No Limit",""
"64","08/19/2024 11:00 AM","Amazon Fresh","16X","09/09/2024","4X","80 | 240 | 320","Coins","","08/20/2024 11:59 PM","No Limit","Sold Out"
"65","08/19/2024 11:00 AM","Netflix","15X","09/09/2024","5X","100 | 200 | 300","Coins","","08/20/2024 11:59 PM","No Limit","Sold Out"
"66","08/19/2024 11:00 AM","Sam's Club","7.5X","09/09/2024","2X","40 | 110 | 150","Coins","","08/20/2024 11:59 PM","No Limit",""
"67","08/19/2024 11:00 AM","JC Penney","17.5X","09/09/2024","7X","140 | 210 | 350","Coins","","08/20/2024 11:59 PM","No Limit",""
"68","08/19/2024 11:00 AM","Hulu","15X","09/09/2024","5X","100 | 200 | 300","Coins","","08/20/2024 11:59 PM","No Limit",""
"69","08/19/2024 11:00 AM","Peet's","20X","09/09/2024","5X","100 | 300 | 400","Coins","","08/20/2024 11:59 PM","No Limit",""
"70","08/11/2024 01:30 PM","Amazon","10X","08/31/2024","4X","80 | 120 | 200","Coins","","08/11/2024 11:59 PM","No Limit",""
"71","08/13/2024 11:00 AM","Amazon","10X","08/31/2024","4X","80 | 120 | 200","Coins","","08/13/2024 11:59 PM","Unstated",""
"72","08/15/2024 11:00 AM","Meijer","9X","08/31/2024","3X","60 | 120 | 180","Coins","","08/18/2024 11:59 PM","1 per person | Max $500",""
"78","08/20/2024 10:00 AM","PetSmart","17.5X","09/09/2024","7X","140 | 210 | 350","Coins","","08/20/2024 11:59 PM","No Limit",""
"79","08/20/2024 10:00 AM","Nike","10X","09/09/2024","7X","140 | 60 | 200","Coins","","08/20/2024 11:59 PM","No Limit",""
"80","08/20/2024 10:00 AM","Sam's Club","10X","09/09/2024","2X","40 | 160 | 200","Coins","","08/20/2024 11:59 PM","No Limit","Point boost from previous deal running in the same time period."
"81","08/20/2024 10:00 AM","Amazon Fresh","16X","09/09/2024","4X","80 | 240 | 320","Coins","","08/20/2024 11:59 PM","No Limit","Sold out day before but brought back on 8/20 Sold out on 8/20 by 12:30PM EST"
"82","08/16/2024 04:00 PM","Adidas","17.5X","08/31/2024","7X","140 | 210 | 350","Coins","","08/16/2024 11:59 PM","No Limit",""
"83","08/20/2024 08:30 PM","Amazon","7.5x","09/09/2024","4X","80 | 70 | 150","Coins","","08/20/2024 11:59 PM","No Limit",""
"84","08/21/2024 03:00 PM","Lowe's","10X","09/09/2024","4X","80 | 120 | 200","Coins","","08/23/2024 11:59 PM","No Limit","WARNING:  THIS DEAL WAS ADDED MIDDAY BUT HAS THE WRONG START DATES AND TIMES.  PURCHASE AT YOUR OWN RISK."
"85","08/21/2024 10:00 AM","Champs","18X","09/09/2024","6X","120 | 240 | 360","Coins","","08/23/2024 11:59 PM","No Limit",""
"86","08/21/2024 10:00 AM","Finish Line","20X","09/09/2024","8X","160 | 240 | 400","Coins","","08/23/2024 11:59 PM","No Limit",""
"87","08/21/2024 10:00 AM","Foot Locker","14X","09/09/2024","5X","100 | 180 | 280","Coins","","08/23/2024 11:59 PM","1 Time Use | $500 Max Spend",""
"88","08/21/2024 10:00 AM","Ikea","10X","09/09/2024","4X","80 | 120 | 200","Coins","","08/23/2024 11:59 PM","No Limit",""
"89","08/21/2024 10:00 AM","Instacart","20X","09/09/2024","3X","60 | 340 | 400","Coins","","08/21/2024 11:59 PM","No Limit",""
"90","08/21/2024 10:00 AM","REI","15X","09/09/2024","6X","120 | 180 | 300","Coins","","08/23/2024 11:59 PM","No Limit",""
"91","08/21/2024 10:00 AM","Nike","10X","09/09/2024","7X","140 | 60 | 200","Coins","","08/23/2024 11:59 PM","No Limit",""
"92","08/21/2024 10:00 AM","Chipotle","10X","09/09/2024","2X","40 | 160 | 200","Coins","","08/23/2024 11:59 PM","No Limit",""
"93","08/21/2024 10:00 AM","Kohl's","10X","09/09/2024","5X","100 | 100 | 200","Coins","","08/23/2024 11:59 PM","Limit released around 3PM ...previously >>1 Time Use | $500 Max Spend",""
"94","08/21/2024 10:00 AM","PetSmart","20X","09/09/2024","7X","140 | 260 | 400","Coins","","08/23/2024 11:59 PM","No Limit",""
"95","08/21/2024 03:00 PM","Wayfair","10X","09/09/2024","4X","80 | 120 | 200","Coins","","08/23/2024 11:59 PM","No Limit","WARNING:  THIS DEAL WAS ADDED MIDDAY BUT HAS THE WRONG START DATES AND TIMES.  PURCHASE AT YOUR OWN RISK."
"96","08/21/2024 11:00 AM","AirBnB","10X","09/09/2024","4X","80 | 120 | 200","Coins","","08/23/2024 11:59 PM","No Limit",""
"100","08/05/2024 12:00 AM","Adidas","14X","08/23/2024","7X","140 | 140 | 280","Coins","","08/06/2024 11:59 PM","1 per person | Max $500",""
"101","08/05/2024 12:00 AM","Under Armour","20X","08/23/2024","8X","160 | 240 | 400","Coins","","08/06/2024 11:59 PM","No Limit",""
"102","08/05/2024 12:00 AM","Nike","14X","08/23/2024","7X","140 | 140 | 280","Coins","","08/06/2024 11:59 PM","1 per person | Max $500",""
"103","08/05/2024 12:00 AM","Puma","20X","08/23/2024","8X","160 | 240 | 400","Coins","","08/06/2024 11:59 PM","No Limit",""
"104","08/05/2024 12:00 AM","Foot Locker","14X","08/23/2024","5X","100 | 180 | 280","Coins","","08/06/2024 11:59 PM","1 per person | Max $500",""
"105","08/22/2024 07:00 PM","Adidas","14X","09/09/2024","7X","140 | 140 | 280","Coins","","08/23/2024 11:59 PM","No Limit",""
"106","08/22/2024 07:00 PM","Southwest","12X","09/09/2024","4X","80 | 160 | 240","Coins","","08/23/2024 11:59 PM","No Limit",""
"107","08/23/2024 12:00 AM","Doordash","10%","","3X","54","%","","08/25/2024 11:59 PM","No Limit","When first published on 8/22, this deal had a $500, 1 time use.  The next day, they republished it and took out the ""limit"" language."
"109","08/23/2024 05:00 PM","Amazon","10X","09/09/2024","4X","80 | 120 | 200","Coins","","08/23/2024 11:59 PM","No Limit",""
"114","08/23/2024 11:00 AM","Puma","20X","09/09/2024","8X","160 | 240 | 400","Coins","","08/23/2024 11:59 PM","No Limit",""
"115","08/23/2024 11:00 AM","Meijer","9X","09/09/2024","3X","60 | 120 | 180","Coins","","08/23/2024 11:59 PM","1 Time Use | $500 Max Spend",""
"116","08/23/2024 11:00 AM","Netflix","15X","09/09/2024","5X","100 | 200 | 300","Coins","","08/23/2024 11:59 PM","No Limit",""
"117","08/23/2024 11:00 AM","Delta","10X","09/09/2024","4X","80 | 120 | 200","Coins","","08/23/2024 11:59 PM","No Limit",""
"118","08/23/2024 11:00 AM","Gamestop","10X","09/09/2024","5X","100 | 100 | 200","Coins","","08/23/2024 11:59 PM","No Limit",""
"119","08/23/2024 11:00 AM","Petco","20X","09/09/2024","8X","160 | 240 | 400","Coins","","08/23/2024 11:59 PM","No Limit",""
"120","08/23/2024 11:00 AM","Google Play","10.5X","09/09/2024","3X","60 | 150 | 210","Coins","","08/23/2024 11:59 PM","No Limit",""
"121","08/24/2024 09:30 AM","REI","15X","09/09/2024","6X","120 | 180 | 300","Coins","","08/25/2024 11:59 PM","No Limit",""
"129","08/24/2024 09:30 AM","Sephora","15X","09/09/2024","5X","100 | 200 | 300","Coins","","08/25/2024 11:59 PM","No Limit",""
"130","08/24/2024 09:30 AM","Uber","9X","09/09/2024","3X","60 | 120 | 180","Coins","","08/25/2024 11:59 PM","No Limit",""
"131","08/24/2024 09:30 AM","CVS","20X","09/09/2024","3X","60 | 340 | 400","Coins","","08/25/2024 11:59 PM","No Limit",""
"132","08/24/2024 09:30 AM","JC Penney","17.5X","09/09/2024","7X","140 | 210 | 350","Coins","","08/25/2024 11:59 PM","No Limit",""
"133","08/24/2024 09:30 AM","Groupon","15X","09/09/2024","5X","100 | 200 | 300","Coins","","08/25/2024 11:59 PM","No Limit",""
"134","08/24/2024 09:30 AM","Champs","10X","09/09/2024","6X","120 | 80 | 200","Coins","","08/25/2024 11:59 PM","No Limit",""
"135","08/24/2024 09:30 AM","""Bed, Bath, & Beyond""","10X","09/09/2024","5X","100 | 100 | 200","Coins","","08/25/2024 11:59 PM","No Limit",""
"137","08/24/2024 04:30 PM","Sam's Club","9X","09/09/2024","2X","40 | 140 | 180","Coins","","08/24/2024 11:59 PM","No Limit",""
"139","08/25/2024 04:30 PM","Southwest","20X","09/09/2024","4X","80 | 320 | 400","Coins","","08/25/2024 11:59 PM","No Limit",""
"140","08/25/2024 12:00 PM","Amazon","10X","09/09/2024","4X","80 | 120 | 200","Coins","","08/25/2024 11:59 PM","No Limit","WARNING:  Their original graphic (2nd one here) said 10X in the title but 20 in the text.  It also had an payout date of 08/31.  They later changed the text to 10X and a payout date of 09/09."
"141","08/26/2024 10:00 AM","PetSmart","20X","09/16/2024","7X","140 | 260 | 400","Coins","","08/27/2024 11:59 PM","No Limit",""
"142","08/26/2024 10:00 AM","Finish Line","20X","09/16/2024","8X","160 | 240 | 400","Coins","","08/27/2024 11:59 PM","No Limit",""
"143","08/26/2024 10:00 AM","Nike","15X","09/16/2024","7X","140 | 160 | 300","Coins","","08/27/2024 11:59 PM","No Limit","WARNING:  In typical fashion, Pepper messed up the information when first published.  They originally published payout dates of 9/9 but, 20 minutes later, changed them to 9/16."
"144","08/26/2024 10:00 AM","Kohl's","10X","09/16/2024","5X","100 | 100 | 200","Coins","","08/27/2024 11:59 PM","No Limit","WARNING:  In typical fashion, Pepper messed up the information when first published.  They originally published payout dates of 9/9 but, 20 minutes later, changed them to 9/16."
"145","08/26/2024 10:00 AM","Old Navy","15X","09/16/2024","5X","100 | 200 | 300","Coins","","08/27/2024 11:59 PM","No Limit","WARNING:  In typical fashion, Pepper messed up the information when first published.  They originally published payout dates of 9/9 but, 20 minutes later, changed them to 9/16."
"146","08/26/2024 10:00 AM","Champs","18X","09/16/2024","6X","120 | 240 | 360","Coins","","08/27/2024 11:59 PM","No Limit","WARNING:  In typical fashion, Pepper messed up the information when first published.  They originally published payout dates of 9/9 but, 20 minutes later, changed them to 9/16."
"147","08/26/2024 10:00 AM","Foot Locker","14X","09/16/2024","5X","100 | 180 | 280","Coins","","08/27/2024 11:59 PM","No Limit","WARNING:  In typical fashion, Pepper messed up the information when first published.  They originally published payout dates of 9/9 but, 20 minutes later, changed them to 9/16."
"148","08/26/2024 10:00 AM","Netflix","15X","09/16/2024","5X","100 | 200 | 300","Coins","","08/27/2024 11:59 PM","No Limit","WARNING:  In typical fashion, Pepper messed up the information when first published.  They originally published payout dates of 9/9 but, 20 minutes later, changed them to 9/16."
"149","08/26/2024 04:00 PM","Meijer","9X","09/16/2024","3X","60 | 120 | 180","Coins","","08/30/2024 11:59 PM","1 Time Use | $500 Max Spend",""
"150","08/27/2024 12:00 AM","Instacart","10%","","3X","54","%","","08/30/2024 11:59 PM","1 Time Use | $200 Max Spend","On 8/27 @ 4:30PM EDT, Pepper removed the limit for this offer."
"151","08/07/2024 12:00 AM","Instacart","10%","","3X","54","%","","08/09/2024 11:59 PM","1 Time Use | $250 Max Spend",""
"152","08/27/2024 05:00 PM","Amazon","10X","09/16/2024","4X","80 | 120 | 200","Coins","","08/27/2024 11:59 PM","No Limit",""
"155","08/28/2024 08:00 AM","Puma","20X","09/16/2024","8X","160 | 240 | 400","Coins","","08/30/2024 11:59 PM","No Limit",""
"156","08/28/2024 08:00 AM","Delta","14X","09/16/2024","4X","80 | 200 | 280","Coins","","08/30/2024 11:59 PM","No Limit",""
"157","08/28/2024 08:00 AM","AirBnB","14X","09/16/2024","4X","80 | 200 | 280","Coins","","08/30/2024 11:59 PM","No Limit",""
"158","08/28/2024 08:00 AM","Petco","20X","09/16/2024","8X","80 | 320 | 400","Coins","","08/30/2024 11:59 PM","No Limit",""
"159","08/28/2024 08:00 AM","Wayfair","14X","09/16/2024","4X","80 | 200 | 280","Coins","","08/30/2024 11:59 PM","No Limit",""
"160","08/28/2024 08:00 AM","Lowe's","14X","09/16/2024","4X","80 | 200 | 280","Coins","","08/30/2024 11:59 PM","No Limit",""
"161","08/28/2024 08:00 AM","Adidas","14X","09/16/2024","7X","140 | 140 | 280","Coins","","08/28/2024 03:30 PM","No Limit",""
"163","08/28/2024 03:30 PM","Macy's","18X","09/16/2024","3X","60 | 300 | 360","Coins","","08/29/2024 11:59 PM","No Limit","NOTE:  This deal originally ended at midnight  on 8/28 but was brought back on 8/29 so they simply changed the graphic to match the new end time."
"164","08/28/2024 03:30 PM","Adidas","18X","09/16/2024","7X","140 | 220 | 360","Coins","yes","08/30/2024 11:59 PM","No Limit","NOTE:  This deal was initially published in the morning at 14X.  At 3:30PM EDT, it was changed to 18X."
"165","08/28/2024 03:30 PM","Kohl's","18X","09/16/2024","5X","100 | 260 | 360","Coins","","08/28/2024 11:59 PM","No Limit",""
"166","08/29/2024 08:30 AM","Converse","15X","09/16/2024","5X","100 | 200 | 300","Coins","","08/29/2024 11:59 PM","No Limit",""
"167","08/29/2024 12:00 PM","Amazon Fresh","15X","09/16/2024","4X","80 | 220 | 300","Coins","","08/29/2024 11:59 PM","No Limit",""
"168","08/29/2024 12:00 PM","Sam's Club","10X","09/16/2024","2X","40 | 160 | 200","Coins","","08/29/2024 11:59 PM","No Limit",""
"169","08/29/2024 12:00 PM","Finish Line","15X","09/16/2024","8X","160 | 140 | 300","Coins","","08/29/2024 11:59 PM","No Limit",""
"170","08/29/2024 05:00 PM","Under Armour","20X","09/16/2024","8X","160 | 240 | 400","Coins","","08/29/2024 11:59 PM","No Limit",""
"172","08/30/2024 12:00 AM","Uber,Uber Eats","10%","","3X, 3X","54","%","","09/02/2024 11:59 AM","1 Time Use | $500 Max Spend",""
"176","08/30/2024 10:30 AM","Amazon","12X","09/16/2024","4X","80 | 160 | 240","Coins","","08/30/2024 11:59 PM","No Limit","NOTE:  The original graphic listed ""Finish Line"" as the vendor despite showing the Amazon graphic and being attached to the Amazon promo."
"178","08/30/2024 10:30 AM","Ulta Beauty","17.5X","09/16/2024","5X","100 | 250 | 350","Coins","","08/30/2024 11:59 PM","No Limit",""
"179","08/30/2024 10:30 AM","Ace Hardware","20X","09/16/2024","6X","120 | 280 | 400","Coins","","08/30/2024 11:59 PM","No Limit",""
"180","08/30/2024 04:30 PM","Southwest","20X","09/16/2024","4X","80 | 320 | 400","Coins","","08/30/2024 11:59 PM","No Limit",""
"181","08/30/2024 04:30 PM","Sephora","18X","09/16/2024","5X","100 | 260 | 360","Coins","","08/30/2024 11:59 PM","No Limit",""
"182","08/30/2024 08:30 AM","""Bed, Bath, & Beyond""","10X","09/16/2024","5X","100 | 100 | 200","Coins","","09/01/2024 11:59 PM","No Limit",""
"183","08/30/2024 08:30 AM","Champs","10X","09/16/2024","6X","120 | 80 | 200","Coins","","09/01/2024 11:59 PM","No Limit",""
"184","08/30/2024 08:30 AM","Groupon","15X","09/16/2024","5X","100 | 200 | 300","Coins","","09/01/2024 11:59 PM","No Limit",""
"185","08/30/2024 08:30 AM","JC Penney","17.5X","09/16/2024","7X","140 | 210 | 350","Coins","","09/01/2024 11:59 PM","No Limit",""
"186","08/30/2024 08:30 AM","CVS","20X","09/16/2024","3X","60 | 340 | 400","Coins","","09/01/2024 11:59 PM","No Limit",""
"187","08/30/2024 08:30 AM","REI","15X","09/16/2024","6X","120 | 180 | 300","Coins","","09/01/2024 11:59 PM","No Limit",""
"188","08/15/2024 09:00 AM","PetSmart","20X","08/31/2024","7X","140 | 260 | 400","Coins","","08/16/2024 11:59 PM","No Limit",""
"189","08/31/2024 03:30 PM","Hulu","20X","09/16/2024","5X","100 | 300 | 400","Coins","","09/01/2024 11:59 PM","No Limit",""
"190","08/31/2024 03:30 PM","Google Play","20X","09/16/2024","3X","60 | 340 | 400","Coins","","09/01/2024 11:59 PM","No Limit",""
"191","08/31/2024 03:30 PM","Netflix","20X","09/16/2024","5X","100 | 300 | 400","Coins","","09/01/2024 11:59 PM","No Limit",""
"192","08/31/2024 03:30 PM","Roblox","20X","09/16/2024","5X","100 | 300 | 400","Coins","","09/01/2024 11:59 PM","No Limit",""
"193","08/31/2024 03:30 PM","Gamestop","20X","09/16/2024","5X","100 | 300 | 400","Coins","","09/01/2024 11:59 PM","No Limit",""
"194","09/01/2024 02:30 PM","Sam's Club","10X","09/16/2024","2X","40 | 160 | 200","Coins","","09/01/2024 11:59 PM","No Limit",""
"195","09/01/2024 02:30 PM","""Bed, Bath, & Beyond""","15X","09/16/2024","5X","40 | 260 | 300","Coins","","09/01/2024 11:59 PM","No Limit","NOTE:  This was originally offered at 10X on 8/31 but, on 9/1, they quietly bumped it up to 15x."
"196","09/02/2024 09:30 AM","PetSmart","20X","09/23/2024","7X","140 | 260 | 400","Coins","","09/03/2024 11:59 PM","No Limit",""
"197","09/02/2024 09:30 AM","Foot Locker","18X","09/23/2024","5X","100 | 260 | 360","Coins","","09/03/2024 11:59 PM","No Limit",""
"198","09/02/2024 09:30 AM","Belk","23X","09/23/2024","8X","160 | 300 | 460","Coins","","09/03/2024 11:59 PM","No Limit",""
"199","09/02/2024 09:30 AM","Chipotle","23X","09/23/2024","2X","40 | 420 | 460","Coins","","09/03/2024 11:59 PM","No Limit",""
"202","09/02/2024 09:30 AM","Victoria's Secret","23X","09/23/2024","4X","80 | 380 | 460","Coins","","09/03/2024 11:59 PM","No Limit",""
"203","09/02/2024 09:30 AM","Nike","15X","09/23/2024","7X","140 | 160 | 300","Coins","","09/03/2024 11:59 PM","No Limit",""
"204","09/02/2024 09:30 AM","Puma","23X","09/23/2024","8X","160 | 300 | 460","Coins","","09/03/2024 11:59 PM","No Limit",""
"205","09/02/2024 09:30 AM","Champs","18X","09/23/2024","6X","120 | 240 | 360","Coins","","09/03/2024 11:59 PM","No Limit",""
"206","09/03/2024 10:00 AM","Amazon","10X","09/23/2024","4X","80 | 120 | 200","Coins","","09/03/2024 11:59 PM","No Limit",""
"207","09/03/2024 04:45 PM","Finish Line","20X","09/23/2024","8X","160 | 240 | 400","Coins","","09/03/2024 11:59 PM","No Limit",""
"208","09/03/2024 04:45 PM","Netflix","15X","09/23/2024","5X","100 | 200 | 300","Coins","","09/03/2024 11:59 PM","No Limit",""
"209","09/03/2024 04:45 PM","Sam's Club","10X","09/23/2024","2X","40 | 160 | 200","Coins","","09/03/2024 11:59 PM","No Limit",""
"210","09/04/2024 08:30 AM","Southwest","12X","09/23/2024","4X","80 | 160 | 240","Coins","","09/06/2024 11:59 PM","No Limit",""
"211","09/04/2024 08:30 AM","Wayfair","10X","09/23/2024","4X","80 | 120 | 200","Coins","","09/06/2024 11:59 PM","No Limit",""
"212","09/04/2024 08:30 AM","Petco","20X","09/23/2024","8X","160 | 240 | 400","Coins","","09/06/2024 11:59 PM","No Limit",""
"213","09/04/2024 08:30 AM","Adidas","14X","09/23/2024","7X","140 | 140 | 280","Coins","","09/06/2024 11:59 PM","No Limit","WARNING: This was later boosted to 18X in the afternoon but the graphic still shows the early morning start time."
"214","09/04/2024 08:30 AM","Meijer","9X","09/23/2024","3X","60 | 120 | 180","Coins","","09/06/2024 11:59 PM","No Limit",""
"215","09/04/2024 03:45 PM","Amazon","10X","09/23/2024","4X","80 | 120 | 200","Coins","","09/04/2024 11:59 PM","No Limit",""
"216","09/04/2024 08:30 PM","Sam's Club","10X","09/23/2024","2X","40 | 160 | 200","Coins","","09/04/2024 11:59 PM","No Limit",""
"217","09/05/2024 07:30 AM","AirBnB","14X","09/23/2024","4X","80 | 200 | 280","Coins","","09/05/2024 11:59 PM","No Limit",""
"218","09/05/2024 07:30 AM","Bath & Body Works","20X","09/23/2024","5X","100 | 300 | 400","Coins","","09/05/2024 11:59 PM","No Limit",""
"219","09/05/2024 07:30 AM","Macy's","18X","09/23/2024","3X","60 | 300 | 360","Coins","","09/05/2024 11:59 PM","No Limit",""
"221","09/05/2024 08:30 AM","Wayfair","15X","09/23/2024","4X","80 | 220 | 300","Coins","","09/06/2024 11:59 PM","No Limit","WARNING: This was originally listed at 10X at 7:30 but later changed to 15X."
"222","09/05/2024 01:30 PM","Sam's Club","10X","09/23/2024","2X","40 | 160 | 200","Coins","","09/06/2024 11:59 PM","No Limit",""
"223","09/06/2024 12:00 AM","Doordash","10%","","3X","54","%","","09/10/2024 11:59 PM","1 Time Use | $400 Max Spend",""
"224","09/06/2024 08:00 AM","Ulta Beauty","21X","09/23/2024","5X","100 | 320 | 420","Coins","","09/06/2024 11:59 PM","No Limit",""
"225","09/06/2024 08:00 AM","Sephora","21X","09/23/2024","5X","100 | 320 | 420","Coins","","09/06/2024 11:59 PM","No Limit",""
"226","09/06/2024 08:00 AM","Amazon Fresh","10X","09/23/2024","4X","80 | 120 | 200","Coins","","09/06/2024 11:59 PM","No Limit",""
